Date,TataSteel
10-06-2020,315.814056
11-06-2020,305.238159
12-06-2020,309.575745
15-06-2020,298.463776
16-06-2020,301.144318
17-06-2020,300.413239
18-06-2020,310.06311
19-06-2020,312.451202
22-06-2020,317.4711
23-06-2020,323.611938
24-06-2020,317.812256
25-06-2020,314.936798
26-06-2020,315.667847
29-06-2020,312.743652
30-06-2020,318.445831
01-07-2020,315.521637
02-07-2020,326.43866
03-07-2020,321.564972
06-07-2020,330.337585
07-07-2020,321.954865
08-07-2020,325.756348
09-07-2020,335.796112
10-07-2020,330.14267
13-07-2020,333.456757
14-07-2020,328.14444
15-07-2020,330.727478
16-07-2020,333.018127
17-07-2020,342.08316
20-07-2020,343.496521
21-07-2020,350.075958
22-07-2020,341.205872
23-07-2020,343.009155
24-07-2020,337.355682
27-07-2020,343.93515
28-07-2020,349.442413
29-07-2020,364.307098
30-07-2020,357.337769
31-07-2020,357.045319
03-08-2020,364.063416
04-08-2020,362.845001
05-08-2020,385.799988
06-08-2020,400.450012
07-08-2020,404.049988
10-08-2020,410.200012
11-08-2020,416.450012
12-08-2020,414.5
13-08-2020,413.100006
14-08-2020,418.5
17-08-2020,425.049988
18-08-2020,434.5
19-08-2020,431.700012
20-08-2020,432.600006
21-08-2020,428.850006
24-08-2020,429.5
25-08-2020,424
26-08-2020,425
27-08-2020,426.850006
28-08-2020,424.200012
31-08-2020,413
01-09-2020,428.649994
02-09-2020,438.649994
03-09-2020,438.100006
04-09-2020,421.299988
07-09-2020,422.5
08-09-2020,405.100006
09-09-2020,417.399994
10-09-2020,408
11-09-2020,407.5
14-09-2020,404.649994
15-09-2020,405.25
16-09-2020,404.600006
17-09-2020,398.700012
18-09-2020,395.5
21-09-2020,373.399994
22-09-2020,374.149994
23-09-2020,361.299988
24-09-2020,343.899994
25-09-2020,352.100006
28-09-2020,361
29-09-2020,370.049988
30-09-2020,359.75
01-10-2020,364.950012
05-10-2020,382.299988
06-10-2020,377.399994
07-10-2020,371.100006
08-10-2020,373.649994
09-10-2020,369.5
12-10-2020,371.100006
13-10-2020,368.350006
14-10-2020,375.549988
15-10-2020,373.899994
16-10-2020,393.850006
19-10-2020,395.5
20-10-2020,392.399994
21-10-2020,404.049988
22-10-2020,409.649994
23-10-2020,423.450012
26-10-2020,408.399994
27-10-2020,411
28-10-2020,402.299988
29-10-2020,401.399994
30-10-2020,410.549988
02-11-2020,402.850006
03-11-2020,406.899994
04-11-2020,403.899994
05-11-2020,425.5
06-11-2020,426.5
09-11-2020,438.299988
10-11-2020,441.899994
11-11-2020,473.950012
12-11-2020,473.149994
13-11-2020,486.549988
14-11-2020,null
17-11-2020,522.700012
18-11-2020,517.200012
19-11-2020,523.599976
20-11-2020,532.900024
23-11-2020,543.099976
24-11-2020,548.299988
25-11-2020,541.25
26-11-2020,568.400024
27-11-2020,577.349976
01-12-2020,585.799988
02-12-2020,604.349976
03-12-2020,620.900024
04-12-2020,622.700012
07-12-2020,614.549988
08-12-2020,613.450012
09-12-2020,609.349976
10-12-2020,610.099976
11-12-2020,621.700012
14-12-2020,626.75
15-12-2020,635.349976
16-12-2020,643.400024
17-12-2020,635.299988
18-12-2020,631.25
21-12-2020,595.849976
22-12-2020,601.349976
23-12-2020,621.400024
24-12-2020,622.299988
28-12-2020,632.650024
29-12-2020,632.200012
30-12-2020,640.450012
31-12-2020,643.650024
01-01-2021,643.099976
04-01-2021,693
05-01-2021,680.549988
06-01-2021,683.799988
07-01-2021,722.799988
08-01-2021,713.150024
11-01-2021,695.650024
12-01-2021,694.900024
13-01-2021,709.150024
14-01-2021,706.349976
15-01-2021,705.900024
18-01-2021,666.700012
19-01-2021,681.099976
20-01-2021,690.150024
21-01-2021,666.700012
22-01-2021,647
25-01-2021,651.950012
27-01-2021,626
28-01-2021,623.700012
29-01-2021,601
01-02-2021,636.099976
02-02-2021,641.650024
03-02-2021,653.150024
04-02-2021,655.950012
05-02-2021,685.049988
08-02-2021,702.950012
09-02-2021,699.200012
10-02-2021,690.25
11-02-2021,694.700012
12-02-2021,680.5
15-02-2021,672.150024
16-02-2021,699.200012
17-02-2021,696.799988
18-02-2021,697.75
19-02-2021,670.700012
22-02-2021,684.549988
23-02-2021,729.299988
24-02-2021,727.700012
25-02-2021,742.900024
26-02-2021,715.150024
01-03-2021,730.400024
02-03-2021,735.5
03-03-2021,777.150024
04-03-2021,757.950012
05-03-2021,733.299988
08-03-2021,737.25
09-03-2021,706.75
10-03-2021,724.5
12-03-2021,719.950012
15-03-2021,736.400024
16-03-2021,724.049988
17-03-2021,704.400024
18-03-2021,704.849976
19-03-2021,733
22-03-2021,743.5
23-03-2021,741.150024
24-03-2021,702.799988
25-03-2021,723.150024
26-03-2021,766.849976
30-03-2021,800
31-03-2021,811.849976
01-04-2021,863.049988
05-04-2021,867.75
06-04-2021,862.849976
07-04-2021,874.849976
08-04-2021,918.400024
09-04-2021,899.5
12-04-2021,851.549988
13-04-2021,879
15-04-2021,898.200012
16-04-2021,890.25
19-04-2021,888.049988
20-04-2021,894
22-04-2021,921.400024
23-04-2021,925.599976
26-04-2021,940.75
27-04-2021,977.75
28-04-2021,971.400024
29-04-2021,1031.349976
30-04-2021,1034
03-05-2021,1064.75
04-05-2021,1063.849976
05-05-2021,1070.150024
06-05-2021,1100.900024
07-05-2021,1182.349976
10-05-2021,1216.349976
11-05-2021,1233.900024
12-05-2021,1179.150024
14-05-2021,1132.099976
17-05-2021,1150.849976
18-05-2021,1180
19-05-2021,1164.25
20-05-2021,1105.050049
21-05-2021,1113.099976
24-05-2021,1092
25-05-2021,1105.199951
26-05-2021,1082.150024
27-05-2021,1096.650024
28-05-2021,1103.5
31-05-2021,1125.650024
01-06-2021,1100.900024
02-06-2021,1124.050049
03-06-2021,1122
04-06-2021,1120.699951
07-06-2021,1128.699951
08-06-2021,1111.099976
09-06-2021,1101
